180.3333333,121.1111111,69,118.6666667,124.75,106.1111111,,,,,
148.5,106.1111111,107.5,124.75,120.9166667,121.1666667,,,,,
128,99,84.5,109,118.6666667,99,,,,,
120.8333333,113.9444444,110.5,120.9166667,109,113.9444444,,,,,
116,101.6666667,94.5,102.25,102.25,101.6666667,,,,,
111,68.33333333,47,85,93.25,68.33333333,,,,,
104,66.66666667,48,73.75,85,66.66666667,,,,,
97,91.33333333,88.5,93.25,82.66666667,91.33333333,,,,,
94.33333333,77.11111111,68.5,82.66666667,78.75,77.11111111,,,,,
89.83333333,66.61111111,55,55.41666667,77.16666667,66.61111111,,,,,
84.5,67.83333333,59.5,78.75,73.75,67.83333333,,,,,
80.83333333,64.61111111,56.5,77.16666667,55.41666667,64.61111111,,,,,
77,57,47,,,57,,,,,
74.66666667,40.55555556,23.5,,,40.55555556,,,,,
71.66666667,48.55555556,37,,,48.55555556,,,,,
68.5,53.5,46,,,53.5,,,,,
66.5,75.5,80,,,75.5,,,,,
63.83333333,55.61111111,51.5,,,55.61111111,,,,,
61.33333333,63.11111111,64,,,63.11111111,,,,,
59.83333333,55.94444444,54,,,55.94444444,,,,,
57.33333333,48.44444444,44,,,48.44444444,,,,,
56.16666667,50.05555556,47,,,50.05555556,,,,,
54.16666667,41.38888889,35,,,41.38888889,,,,,
52.66666667,42.55555556,37.5,,,42.55555556,,,,,
50.66666667,47.88888889,46.5,,,47.88888889,,,,,
49.16666667,44.38888889,42,,,44.38888889,,,,,
48.5,49.83333333,50.5,,,49.83333333,,,,,
46.83333333,35.27777778,29.5,,,35.27777778,,,,,
45.5,45.5,45.5,,,45.5,,,,,
44.66666667,46.22222222,47,,,46.22222222,,,,,
43.66666667,40.55555556,39,,,40.55555556,,,,,
42.16666667,30.72222222,25,,,30.72222222,,,,,
40.66666667,46.88888889,50,,,46.88888889,,,,,
40.16666667,35.11111112,32.58333334,,,35.11111112,,,,,
39.83333333,34.55555556,31.91666667,,,34.55555556,,,,,
38,33,30.5,,,33,,,,,
35.5,31,28.75,,,31,,,,,
34.33333333,29.88888889,27.66666667,,,29.88888889,,,,,
33.5,29,26.75,,,29,,,,,
32.16666667,27.77777778,25.58333334,,,27.77777778,,,,,
30.33333333,26.22222222,24.16666667,,,26.22222222,,,,,
29.33333333,25.22222222,23.16666667,,,25.22222222,,,,,
27.5,23.66666667,21.75,,,23.66666667,,,,,
27,23,21,,,23,,,,,
26.33333333,22.22222222,20.16666667,,,22.22222222,,,,,
25.33333333,21.22222222,19.16666667,,,21.22222222,,,,,
24.5,20.33333333,18.25,,,20.33333333,,,,,
24,19.66666667,17.5,,,19.66666667,,,,,
23.33333333,18.88888889,16.66666667,,,18.88888889,,,,,
21.33333333,17.22222222,15.16666667,,,17.22222222,,,,,
20.5,16.33333333,14.25,,,16.33333333,,,,,
19.16666667,15.11111112,13.08333334,,,15.11111112,,,,,
18.33333333,14.22222222,12.16666667,,,14.22222222,,,,,
17.66666667,13.44444445,11.33333334,,,13.44444445,,,,,
17,12.66666667,10.5,,,12.66666667,,,,,
15.16666667,11.11111111,9.083333335,,,11.11111111,,,,,
14.83333333,10.55555555,8.416666665,,,10.55555555,,,,,
14,9.666666667,7.5,,,9.666666667,,,,,
13,8.666666667,6.5,,,8.666666667,,,,,
12.33333333,7.888888887,5.666666665,,,7.888888887,,,,,
11.83333333,7.22222222,4.916666665,,,7.22222222,,,,,
11.33333333,6.555555553,4.166666665,,,6.555555553,,,,,
10.5,5.666666667,3.25,,,5.666666667,,,,,
9.5,4.666666667,2.25,,,4.666666667,,,,,
7.5,3,0.75,,,3,,,,,
7,2.333333333,0,,,2.333333333,,,,,
6.5,2.166666667,0,,,2.166666667,,,,,
6,2,0,,,2,,,,,
4.666666667,1.555555556,0,,,1.555555556,,,,,
3.833333333,1.277777778,0,,,1.277777778,,,,,
3.833333333,1.277777778,0,,,1.277777778,,,,,
2.833333333,0.944444444,0,,,0.944444444,,,,,
2.166666667,0.722222222,0,,,0.722222222,,,,,
